"","CombinationLabel","Sub","Category","Avg_V4_dis_L2","Avg_V2_dis_L2","Avg_V1_dis_L2","Avg_IT_dis_L2","Avg_V4_dis_Cosine","Avg_V2_dis_Cosine","Avg_V1_dis_Cosine","Avg_IT_dis_Cosine","Avg_CHOICERIGHT","Avg_Accuracy","Avg_PWDis","Avg_SL_Dis","Avg_SP_Dis","Avg_AE_Dis","Avg_AR_Dis","Avg_Sym_Dis","Avg_Symbol_Dis","Avg_FSymbol_Dis","Avg_HU_Dis"
"723","quad7-quad1-quad7","Olivella","IRREG",7.85596900000001,7.51403500000001,11.450154,16.703316,0.07999671,0.04150356,0.03490447,0.1846027,0.793103448275862,0.793103448275862,0.00653516906100302,5,2,6,4,7,17,24,28.5054231791126
"724","quad7-quad1-quad7","Pico","IRREG",7.855969,7.51403500000001,11.450154,16.703316,0.07999671,0.04150356,0.03490447,0.1846027,0.625,0.625,0.00653516906100302,5,2,6,4,7,17,24,28.5054231791126
"725","quad7-quad1-quad7","Sabina","IRREG",7.855969,7.51403500000001,11.450154,16.703316,0.07999671,0.04150356,0.03490447,0.1846027,0.9,0.9,0.00653516906100302,5,2,6,4,7,17,24,28.5054231791126
"726","quad7-quad1-quad7","gaga","IRREG",7.855969,7.51403500000001,11.450154,16.703316,0.07999671,0.04150356,0.03490447,0.1846027,0,0,0.00653516906100302,5,2,6,4,7,17,24,28.5054231791126
"727","quad7-quad2-quad7","Kalamata","IRREG",8.03841380434784,9.54141872282606,14.8456378152174,21.1053212771737,0.0814152170108696,0.0548032904076093,0.0455655892119567,0.220446109646739,0.826086956521739,0.826086956521739,0.00904206912544714,2,1,2,0,1,5,6,38.4446484724598
"728","quad7-quad2-quad7","Olivella","IRREG",7.69355888888889,9.25481388888889,14.2792066666667,20.3901747777778,0.0768953444444445,0.0521838244444445,0.0431380555555555,0.210060105555555,0.62962962962963,0.62962962962963,0.00744121165461071,2,1,2,0,1,5,6,33.6026029653139
"729","quad7-quad2-quad7","Pico","IRREG",7.59291923076924,9.17117346153847,14.113904,20.1814722307692,0.0755763015384615,0.0514193807692308,0.0424296238461538,0.207029138461538,0.423076923076923,0.423076923076923,0.00697403041014773,2,1,2,0,1,5,6,32.189539724529
"730","quad7-quad2-quad7","Sabina","IRREG",8.06736333333334,9.56547833333334,14.893188,21.1653556666667,0.0817946466666667,0.0550231866666668,0.0457693733333333,0.221317983333333,0.5,0.5,0.00917645627690178,2,1,2,0,1,5,6,38.8511235739436
"731","quad7-quad2-quad7","beyonce","IRREG",8.56799428571429,9.98154678571429,15.7154844285714,22.2035443571429,0.0883562121428571,0.0588259039285715,0.0492934596428571,0.236395498214286,0.678571428571429,0.678571428571429,0.0115004446103273,2,1,2,0,1,5,6,45.8803922462155
"732","quad7-quad2-quad7","gaga","IRREG",8.56799428571429,9.98154678571429,15.7154844285714,22.2035443571429,0.0883562121428571,0.0588259039285715,0.0492934596428571,0.236395498214286,0.857142857142857,0.857142857142857,0.0115004446103273,2,1,2,0,1,5,6,45.8803922462155
"733","quad7-quad2-quad7","rihanna","IRREG",8.62807,10.031475,15.81416,22.328127,0.0891435999999999,0.0592822300000001,0.04971635,0.2382048,0.238095238095238,0.238095238095238,0.0117793232103384,2,1,2,0,1,5,6,46.7239044868881
"734","quad7-quad4-quad7","Kalamata","IRREG",7.64000400313478,9.23206882445142,12.763898200627,18.3453771191223,0.0801823403134797,0.0544322384012542,0.0404384392789969,0.203789414420062,0.962382445141066,0.962382445141066,0.00900102853723689,4,1,1,2,0,8,8,37.1022433272393
"735","quad7-quad4-quad7","Olivella","IRREG",7.71041143243243,9.28399594594594,12.6458009189189,18.1121392162162,0.0805035713513513,0.0542891918918919,0.0397609154054053,0.200124869459459,0.918918918918919,0.918918918918919,0.00876062026442197,4,1,1,2,0,8,8,34.7750950042776
"736","quad7-quad4-quad7","Pico","IRREG",7.762839,9.3226625,12.557862,17.938463,0.0807427699999999,0.054182675,0.03925641,0.197396135,0.75,0.75,0.00858160476715783,4,1,1,2,0,8,8,33.0422277890003
"737","quad7-quad4-quad7","Sabina","IRREG",7.62517435483871,9.22113161290322,12.7887725806452,18.3945031290322,0.0801146806451613,0.0544623677419355,0.0405811435483871,0.204561263548387,0.774193548387097,0.774193548387097,0.00905166481481269,4,1,1,2,0,8,8,37.5924017026638
"738","quad7-quad4-quad7","beyonce","IRREG",7.374875,9.03653,13.20861,19.223667,0.0789727,0.0549709,0.0429897499999999,0.21758877,0.928571428571429,0.928571428571429,0.00990631944691243,4,1,1,2,0,8,8,45.8654451820521
"739","quad7-quad4-quad7","gaga","IRREG",7.374875,9.03653,13.20861,19.223667,0.0789727,0.0549709,0.0429897499999999,0.21758877,1,1,0.00990631944691243,4,1,1,2,0,8,8,45.8654451820521
"740","quad7-quad6-quad7","Kalamata","IRREG",4.63600999999999,7.38545999999997,10.4159799999998,12.6617319999998,0.0463814000000003,0.0431207299999995,0.0321218899999995,0.126441300000001,0.589887640449438,0.589887640449438,0.00486561167249589,0,0,0,0,0,0,0,28.0582334588797
"741","quad7-quad6-quad7","Olivella","IRREG",4.63601,7.38545999999998,10.41598,12.661732,0.0463814,0.0431207300000001,0.03212189,0.1264413,0.576923076923077,0.576923076923077,0.0048656116724959,0,0,0,0,0,0,0,28.0582334588796
"742","quad7-quad6-quad7","Pico","IRREG",4.63601,7.38545999999998,10.41598,12.661732,0.0463814,0.0431207300000001,0.03212189,0.1264413,0.537313432835821,0.537313432835821,0.0048656116724959,0,0,0,0,0,0,0,28.0582334588796
"743","quad7-quad6-quad7","Sabina","IRREG",4.63601,7.38545999999999,10.41598,12.661732,0.0463814,0.0431207300000001,0.03212189,0.1264413,0.555555555555556,0.555555555555556,0.0048656116724959,0,0,0,0,0,0,0,28.0582334588796
"744","quad7-quad6-quad7","beyonce","IRREG",4.63600999999997,7.38545999999997,10.4159799999999,12.661732,0.0463813999999997,0.0431207300000001,0.0321218899999999,0.1264413,0.576208178438662,0.576208178438662,0.00486561167249589,0,0,0,0,0,0,0,28.0582334588797
"745","quad7-quad6-quad7","gaga","IRREG",4.63600999999998,7.38545999999997,10.41598,12.661732,0.0463813999999998,0.0431207300000001,0.03212189,0.1264413,0.874285714285714,0.874285714285714,0.00486561167249589,0,0,0,0,0,0,0,28.0582334588796
"746","quad7-quad6-quad7","rihanna","IRREG",4.63600999999997,7.38545999999997,10.41598,12.661732,0.0463813999999998,0.0431207300000001,0.03212189,0.1264413,0.441176470588235,0.441176470588235,0.00486561167249589,0,0,0,0,0,0,0,28.0582334588796
"747","quad7-quad7-quad1","Kalamata","IRREG",-9.68979799999994,-11.911075,-16.3049300000001,-19.7534569999999,-0.104427040000001,-0.0717362700000002,-0.05260795,-0.234290100000001,0.00930232558139535,0.990697674418605,-0.0163847798250405,-5,-2,-6,-4,-7,-17,-24,54.651015500435
"748","quad7-quad7-quad1","Olivella","IRREG",-9.689798,-11.911075,-16.30493,-19.753457,-0.10442704,-0.0717362700000001,-0.05260795,-0.2342901,0.181818181818182,0.818181818181818,-0.0163847798250404,-5,-2,-6,-4,-7,-17,-24,54.6510155004351
"749","quad7-quad7-quad1","Pico","IRREG",-9.689798,-11.911075,-16.30493,-19.753457,-0.10442704,-0.07173627,-0.05260795,-0.2342901,0.0833333333333333,0.916666666666667,-0.0163847798250404,-5,-2,-6,-4,-7,-17,-24,54.6510155004351
"750","quad7-quad7-quad1","Sabina","IRREG",-9.689798,-11.911075,-16.30493,-19.753457,-0.10442704,-0.07173627,-0.05260795,-0.2342901,0.588235294117647,0.411764705882353,-0.0163847798250404,-5,-2,-6,-4,-7,-17,-24,54.6510155004351
"751","quad7-quad7-quad1","beyonce","IRREG",-9.689798,-11.911075,-16.30493,-19.753457,-0.10442704,-0.07173627,-0.05260795,-0.2342901,0.25,0.75,-0.0163847798250404,-5,-2,-6,-4,-7,-17,-24,54.6510155004351
